IMPLEMENTATION COMPARISON: C vs Python
======================================

Overall Match Rate: 400/400 (100.0%)

ID   | Input                          | C Truth              | PY Actual            | Match
----------------------------------------------------------------------------------------------------
1    | but                            | B                    | B                    | YES
2    | can                            | C                    | C                    | YES
3    | do                             | D                    | D                    | YES
4    | every                          | E                    | E                    | YES
5    | from                           | F                    | F                    | YES
6    | go                             | G                    | G                    | YES
7    | have                           | H                    | H                    | YES
8    | just                           | J                    | J                    | YES
9    | knowledge                      | K                    | K                    | YES
10   | like                           | L                    | L                    | YES
11   | more                           | M                    | M                    | YES
12   | not                            | N                    | N                    | YES
13   | people                         | P                    | P                    | YES
14   | quite                          | Q                    | Q                    | YES
15   | rather                         | R                    | R                    | YES
16   | so                             | S                    | S                    | YES
17   | that                           | T                    | T                    | YES
18   | us                             | U                    | U                    | YES
19   | very                           | V                    | V                    | YES
20   | will                           | W                    | W                    | YES
21   | it                             | X                    | X                    | YES
22   | you                            | Y                    | Y                    | YES
23   | as                             | Z                    | Z                    | YES
24   | and                            | &                    | &                    | YES
25   | for                            | =                    | =                    | YES
26   | of                             | (                    | (                    | YES
27   | the                            | !                    | !                    | YES
28   | with                           | )                    | )                    | YES
29   | I can do it.                   | ,I C D X4            | ,I C D X4            | YES
30   | You will like it.              | ,Y W L X4            | ,Y W L X4            | YES
31   | People like more knowledge.    | ,P L M K4            | ,P L M K4            | YES
32   | Every people can go from here. | ,E P C G F "H4       | ,E P C G F "H4       | YES
33   | day                            | "D                   | "D                   | YES
34   | ever                           | "E                   | "E                   | YES
35   | father                         | "F                   | "F                   | YES
36   | here                           | "H                   | "H                   | YES
37   | know                           | "K                   | "K                   | YES
38   | lord                           | "L                   | "L                   | YES
39   | mother                         | "M                   | "M                   | YES
40   | name                           | "N                   | "N                   | YES
41   | one                            | "O                   | "O                   | YES
42   | part                           | "P                   | "P                   | YES
43   | question                       | "Q                   | "Q                   | YES
44   | right                          | "R                   | "R                   | YES
45   | some                           | "S                   | "S                   | YES
46   | time                           | "T                   | "T                   | YES
47   | under                          | "U                   | "U                   | YES
48   | young                          | "Y                   | "Y                   | YES
49   | work                           | "W                   | "W                   | YES
50   | about                          | AB                   | AB                   | YES
51   | above                          | ABV                  | ABV                  | YES
52   | according                      | AC                   | AC                   | YES
53   | across                         | ACR                  | ACR                  | YES
54   | after                          | AF                   | AF                   | YES
55   | afternoon                      | AFN                  | AFN                  | YES
56   | afterward                      | AFW                  | AFW                  | YES
57   | again                          | AG                   | AG                   | YES
58   | against                        | AG/                  | AG/                  | YES
59   | also                           | AL                   | AL                   | YES
60   | almost                         | ALM                  | ALM                  | YES
61   | already                        | ALR                  | ALR                  | YES
62   | altogether                     | ALT                  | ALT                  | YES
63   | although                       | AL?                  | AL?                  | YES
64   | always                         | ALW                  | ALW                  | YES
65   | be                             | 2                    | 2                    | YES
66   | enough                         | 5                    | 5                    | YES
67   | his                            | 8                    | 8                    | YES
68   | in                             | 9                    | 9                    | YES
69   | was                            | 0                    | 0                    | YES
70   | were                           | 7                    | 7                    | YES
71   | Hello, world!                  | ,HELLO1 _W6          | ,HELLO1 _W6          | YES
72   | The quick brown fox jumps over | ,! QK BR[N FOX JUMPS OV] ! LAZY DOG4 | ,! QK BR[N FOX JUMPS OV] ! LAZY DOG4 | YES
73   | Mother said it is about time.  | ,"M SD X IS AB "T4   | ,"M SD X IS AB "T4   | YES
74   | Knowledge is power.            | ,K IS P[]4           | ,K IS P[]4           | YES
75   | I will go with you.            | ,I W G ) Y4          | ,I W G ) Y4          | YES
76   | And for of the with.           | ,& = ( ! )4          | ,& = ( ! )4          | YES
77   | That was a good day.           | ,T 0 A GD "D4        | ,T 0 A GD "D4        | YES
78   | He was also there.             | ,HE 0 AL "!4         | ,HE 0 AL "!4         | YES
79   | They were here.                | ,!Y 7 "H4            | ,!Y 7 "H4            | YES
80   | Will you be my friend?         | ,W Y 2 MY FR8        | ,W Y 2 MY FR8        | YES
81   | Do it for us.                  | ,D X = U4            | ,D X = U4            | YES
82   | Every part of the work is impo | ,E "P ( ! "W IS IMPORTANT4 | ,E "P ( ! "W IS IMPORTANT4 | YES
83   | Can you name some people?      | ,C Y "N "S P8        | ,C Y "N "S P8        | YES
84   | I have enough money.           | ,I H 5 M"OY4         | ,I H 5 M"OY4         | YES
85   | Just do your best.             | ,J D YR BE/4         | ,J D YR BE/4         | YES
86   | Rather go home now.            | ,R G HOME N[4        | ,R G HOME N[4        | YES
87   | So it will be.                 | ,S X W BE4           | ,S X W BE4           | YES
88   | Quite a long time.             | ,Q A L;G "T4         | ,Q A L;G "T4         | YES
89   | It is very young.              | ,X IS V "Y4          | ,X IS V "Y4          | YES
90   | You are the lord.              | ,Y >E ! "L4          | ,Y >E ! "L4          | YES
91   | One more question.             | ,"O M "Q4            | ,"O M "Q4            | YES
92   | Right or wrong.                | ,"R OR WR;G4         | ,"R OR WR;G4         | YES
93   | Under the bridge.              | ,"U ! BRIDGE4        | ,"U ! BRIDGE4        | YES
94   | Father is working.             | ,"F IS "W+4          | ,"F IS "W+4          | YES
95   | Again and again.               | ,AG & AG4            | ,AG & AG4            | YES
96   | Almost there.                  | ,ALM "!4             | ,ALM "!4             | YES
