id,input_text,expected_brf
1,but,
2,can,
3,do,
4,every,
5,from,
6,go,
7,have,
8,just,
9,knowledge,
10,like,
11,more,
12,not,
13,people,
14,quite,
15,rather,
16,so,
17,that,
18,us,
19,very,
20,will,
21,it,
22,you,
23,as,
24,and,
25,for,
26,of,
27,the,
28,with,
29,I can do it.,
30,You will like it.,
31,People like more knowledge.,
32,Every people can go from here.,
33,day,
34,ever,
35,father,
36,here,
37,know,
38,lord,
39,mother,
40,name,
41,one,
42,part,
43,question,
44,right,
45,some,
46,time,
47,under,
48,young,
49,work,
50,about,
51,above,
52,according,
53,across,
54,after,
55,afternoon,
56,afterward,
57,again,
58,against,
59,also,
60,almost,
61,already,
62,altogether,
63,although,
64,always,
65,be,
66,enough,
67,his,
68,in,
69,was,
70,were,
71,"Hello, world!",
72,The quick brown fox jumps over the lazy dog.,
73,Mother said it is about time.,
74,Knowledge is power.,
75,I will go with you.,
76,And for of the with.,
77,That was a good day.,
78,He was also there.,
79,They were here.,
80,Will you be my friend?,
81,Do it for us.,
82,Every part of the work is important.,
83,Can you name some people?,
84,I have enough money.,
85,Just do your best.,
86,Rather go home now.,
87,So it will be.,
88,Quite a long time.,
89,It is very young.,
90,You are the lord.,
91,One more question.,
92,Right or wrong.,
93,Under the bridge.,
94,Father is working.,
95,Again and again.,
96,Almost there.,
97,Already done.,
98,Although it is hard.,
99,Always try your best.,
100,According to the law.,
101,Across the street.,
102,After the rain.,
103,Afternoon tea.,
104,Against the wall.,
105,Altogether now.,
106,About that day.,
107,Above the clouds.,
108,Knowledge and power.,
109,Mother and father.,
110,Some part of it.,
111,Young and old.,
112,Time and tide.,
113,Work and play.,
114,Every day is good.,
115,Quite enough for me.,
116,Rather you than me.,
117,So be it.,
118,HELLO WORLD,
119,Hello World,
120,hELLO wORLD,
121,I am HAPPY.,
122,This is a TEST.,
123,123,
124,12.34,
125,Section 5.2,
126,Call 911!,
127,Price: $10.00,
128,Date: 05/14/2026,
129,(Parentheses),
130,[Brackets],
131,{Braces},
132,Slash/Backslash\,
133,Hyphen-ated,
134,Dash--double,
135,"Quote 'single' and ""double""",
136,heart,
137,beach,
138,teacher,
139,bed,
140,educated,
141,reduced,
142,because,
143,before,
144,behind,
145,below,
146,beneath,
147,beside,
148,between,
149,beyond,
150,children,
151,could,
152,should,
153,would,
154,friend,
155,good,
156,great,
157,him,
158,herself,
159,immediate,
160,little,
161,letter,
162,myself,
163,necessary,
164,neither,
165,paid,
166,perceive,
167,perhaps,
168,quick,
169,receive,
170,rejoice,
171,said,
172,such,
173,themselves,
174,today,
175,together,
176,tomorrow,
177,tonight,
178,your,
179,stronger,
180,longest,
181,standing,
182,motherly,
183,fatherhood,
184,knowingly,
185,questioning,
186,rightful,
187,someone,
188,underneath,
189,youngest,
190,working,
191,A bird in the hand is worth two in the bush.,
192,"To be or not to be, that is the question.",
193,All that glitters is not gold.,
194,In the beginning God created the heaven and the earth.,
195,"It was the best of times, it was the worst of times.",
196,Call me Ishmael.,
197,I wandered lonely as a cloud.,
198,"The lady doth protest too much, methinks.",
199,Time is money.,
200,Practice makes perfect.,
201,Life is what happens when you're busy making other plans.,
202,antidisestablishmentarianism,
203,supercalifragilisticexpialidocious,
204,floccinaucinihilipilification,
205,pseudopseudohypoparathyroidism,
206,U.S.A.,
207,NASA,
208,UNESCO,
209,HTML,
210,CSS,
211,user@example.com,
212,https://www.liblouis.org,
213,Word  word   word,
214,  Leading and trailing  ,
215,© ® ™,
216,€ £ ¥,
217,α β γ,
218,Fox apple banana banana jumps.,
219,Cherry apple jumps brown over.,
220,Fox quick apple cherry fox.,
221,Lazy the the brown banana.,
222,Banana fox fox quick apple.,
223,The over over brown fox.,
224,Lazy apple banana quick cherry.,
225,Quick jumps quick over banana.,
226,Over jumps apple brown apple.,
227,Brown quick jumps brown dog.,
228,Apple the dog fox over.,
229,Fox fox dog banana lazy.,
230,The cherry quick cherry quick.,
231,Cherry banana fox apple dog.,
232,Jumps apple banana fox brown.,
233,Fox jumps apple banana over.,
234,Brown lazy fox fox cherry.,
235,Jumps brown cherry brown jumps.,
236,Brown the over apple over.,
237,Quick quick over dog jumps.,
238,Quick over dog dog brown.,
239,Quick banana dog the fox.,
240,Fox over banana brown quick.,
241,Fox cherry jumps lazy the.,
242,Dog over cherry over banana.,
243,Jumps jumps lazy over quick.,
244,Lazy over cherry jumps brown.,
245,Jumps apple over lazy banana.,
246,Brown lazy brown the lazy.,
247,Brown apple apple fox brown.,
248,Jumps dog lazy jumps quick.,
249,Cherry dog quick lazy banana.,
250,Apple over the apple jumps.,
251,The brown the jumps over.,
252,Cherry lazy dog over apple.,
253,Brown fox banana over banana.,
254,Brown quick over brown dog.,
255,Lazy apple fox lazy jumps.,
256,Dog apple over lazy the.,
257,Over dog the the apple.,
258,Fox jumps the dog jumps.,
259,Jumps apple quick quick apple.,
260,Fox jumps the brown lazy.,
261,Lazy dog fox lazy dog.,
262,Over apple quick brown lazy.,
263,Quick quick lazy apple dog.,
264,Lazy brown brown dog the.,
265,Lazy fox dog cherry quick.,
266,Apple brown jumps brown banana.,
267,Quick quick cherry brown over.,
268,Cherry cherry cherry brown fox.,
269,Brown cherry the dog apple.,
270,The dog banana fox cherry.,
271,Dog jumps jumps lazy jumps.,
272,Apple lazy quick the apple.,
273,Dog over cherry the lazy.,
274,Brown the over over quick.,
275,Apple the the brown the.,
276,Quick cherry quick cherry fox.,
277,Cherry the fox banana cherry.,
278,Lazy banana quick brown dog.,
279,The the jumps lazy quick.,
280,Quick brown banana quick brown.,
281,Brown the jumps banana apple.,
282,Over fox brown fox the.,
283,Fox over apple dog lazy.,
284,Dog cherry dog dog lazy.,
285,Fox quick quick cherry cherry.,
286,Jumps over over jumps quick.,
287,Lazy jumps over over brown.,
288,Over over apple apple the.,
289,Banana fox quick over cherry.,
290,Cherry dog cherry brown apple.,
291,Quick banana over apple jumps.,
292,Cherry banana the cherry banana.,
293,Banana apple fox the cherry.,
294,Cherry dog fox over dog.,
295,Lazy over quick fox apple.,
296,Dog cherry quick apple fox.,
297,Brown banana dog brown lazy.,
298,Over fox brown the apple.,
299,Banana dog over fox cherry.,
300,Over cherry quick dog quick.,
301,Brown apple apple lazy banana.,
302,Brown dog over banana jumps.,
303,The jumps fox quick lazy.,
304,Lazy quick fox apple cherry.,
305,Lazy cherry dog banana over.,
306,Dog lazy jumps jumps lazy.,
307,Fox over over dog the.,
308,The lazy apple banana the.,
309,Dog fox jumps banana cherry.,
310,Quick fox over dog brown.,
311,Dog over fox apple apple.,
312,Jumps lazy over the fox.,
313,Lazy apple dog jumps banana.,
314,Apple quick dog the jumps.,
315,Over lazy the fox brown.,
316,Quick jumps over lazy over.,
317,Jumps cherry lazy fox over.,
318,Dog banana fox dog over.,
319,Apple jumps fox over cherry.,
320,Apple cherry apple jumps apple.,
321,Cherry banana apple jumps apple.,
322,Jumps banana lazy jumps jumps.,
